model: model_u_30a_with_param 准确度:0.772067604599419 f1:0.556481478322184
model: model_u_30a_with_price 准确度:0.798401691762735 f1:0.5650582385118539
model: model_u_30act_h30 准确度:0.8156977573719248 f1:0.5823789163963641
model: model_u_30act_h30_without_price 迭代次数:221 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:231 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:241 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:251 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:261 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:271 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:281 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:291 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:301 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:311 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:321 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:331 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:341 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:351 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:361 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:371 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:381 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:391 测试集准确度:0.4666666666666667 f1:0.4827586206896552
model: model_u_30act_h30_without_price 迭代次数:5 测试集准确度:0.45327075784442217 f1:0.4754900474125294
model: model_u_30act_h30 迭代次数:5 测试集准确度:0.45327075784442217 f1:0.4754900474125294
model: model_u_30act_h30 迭代次数:5 测试集准确度:0.45327075784442217 f1:0.4754900474125294
model: model_u_30act_h30 迭代次数:5 测试集准确度:0.4531772575250836 f1:0.47543859649122805
model: model_u_30act_h30 迭代次数:5 测试集准确度:0.45340374681982887 f1:0.4755632105833455
model: model_u_30act_h30 迭代次数:5 测试集准确度:0.45340374681982887 f1:0.4755632105833455
model: model_u_30act_h30 迭代次数:5 测试集准确度:0.45340374681982887 f1:0.4755632105833455
model: model_u_30act_h30 迭代次数:5 测试集准确度:0.45340374681982887 f1:0.4755632105833455
model: model_u_price_cnt30 迭代次数:5 测试集准确度:0.45340374681982887 f1:0.4755632105833455
model: model_u_price 迭代次数:500 测试集准确度:0.45340374681982887 f1:0.4755632105833455
model: model_u_price 迭代次数:500 测试集准确度:0.45340374681982887 f1:0.4755632105833455
model: model_u_price 迭代次数:500 测试集准确度:0.45340374681982887 f1:0.4755632105833455
model: model_u_price 迭代次数:500 测试集准确度:0.0 f1:0.0
model: model_u_price 迭代次数:500 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:10 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:20 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:30 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:40 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:50 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:60 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:70 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:80 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:90 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:10 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:20 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:30 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:40 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:50 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:60 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:1 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:2 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:3 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:4 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:1 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:2 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:3 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:4 测试集精确率:0.0 f1:0.0
model: model_u_lst10 迭代次数:1 测试集精确率:0.5391545391545391 f1:0.11499519621609636
model: model_u_lst10 迭代次数:2 测试集精确率:0.5860366713681241 f1:0.12305641936916924
model: model_u_lst10 迭代次数:3 测试集精确率:0.6468926553672316 f1:0.07158487027195999
model: model_u_lst10 迭代次数:4 测试集精确率:0.6617100371747212 f1:0.08282279953470338
model: model_u_lst10 迭代次数:50 测试集精确率:0.636098981077147 f1:0.12984697667508543
model: model_u_lst10 迭代次数:51 测试集精确率:0.6361655773420479 f1:0.13011511325659117
model: model_u_lst10 迭代次数:52 测试集精确率:0.6347826086956522 f1:0.13008613008613007
model: model_u_lst10 迭代次数:53 测试集精确率:0.6342525399129173 f1:0.1298084063567503
model: model_u_lst10 迭代次数:54 测试集精确率:0.6288585786073223 f1:0.12996068540909428
model: model_u_lst10 迭代次数:55 测试集精确率:0.6289978678038379 f1:0.1311596887736199
model: model_u_lst10 迭代次数:56 测试集精确率:0.6292372881355932 f1:0.13196090047393366
model: model_u_lst10 迭代次数:57 测试集精确率:0.6253501400560224 f1:0.13213968629772121
model: model_u_lst10 迭代次数:58 测试集精确率:0.6258741258741258 f1:0.13241603787542536
model: model_u_lst10 迭代次数:59 测试集精确率:0.6241283124128313 f1:0.13237686732731846
model: model_u_lst10 迭代次数:60 测试集精确率:0.6241283124128313 f1:0.13237686732731846
model: model_u_lst10 迭代次数:61 测试集精确率:0.6244784422809457 f1:0.13278131006949578
model: model_u_lst10 迭代次数:62 测试集精确率:0.6248266296809986 f1:0.13318551367331855
model: model_u_lst10 迭代次数:63 测试集精确率:0.6243093922651933 f1:0.13356973995271867
